Processor,Transistor count,Year,Designer,Process,Area ,Transistordensity,Processor,Transistor count,Year,Designer,Process,Area ,Transistordensity
MP944,74442,1970,Garrett AiResearch,?,?,?
Intel 4004,2250,1971,Intel,10000,12,188
TMX 1795,3078,1971,Texas Instruments,?,30.64,100.5
Intel 8008,3500,1972,Intel,10000,14,250
NEC  COM-4,2500,1973,NEC,7500,?,?
Toshiba TLCS-12,11000,1973,Toshiba,6000,32,340
Intel 4040,3000,1974,Intel,10000,12,250
Motorola 6800,4100,1974,Motorola,6000,16,256
Intel 8080,6000,1974,Intel,6000,20,300
TMS 1000,8000,1974,Texas Instruments,8000,11,730
MOS Technology 6502,4528,1975,MOS Technology,8000,21,216
Intersil IM6100,4000,1975,Intersil,?,?,?
CDP 1801,5000,1975,RCA,?,?,?
RCA 1802,5000,1976,RCA,5000,27,185
Zilog Z80,8500,1976,Zilog,4000,18,470
Intel 8085,6500,1976,Intel,3000,20,325
TMS9900,8000,1976,Texas Instruments,?,?,?
Bellmac-8 ,7000,1977,Bell Labs,5000,?,?
Motorola 6809,9000,1978,Motorola,5000,21,430
Intel 8086,29000,1978,Intel,3000,33,880
Zilog Z8000,17500,1979,Zilog,?,?,?
Intel 8088,29000,1979,Intel,3000,33,880
Motorola 68000,68000,1979,Motorola,3500,44,1550
Intel 8051,50000,1980,Intel,?,?,?
WDC 65C02,11500,1981,WDC,3000,6,1920
ROMP,45000,1981,IBM,2000,58.52,770
Intel 80186,55000,1982,Intel,3000,60,920
Intel 80286,134000,1982,Intel,1500,49,2730
WDC 65C816,22000,1983,WDC,3000,9,2400
NEC V20,63000,1984,NEC,?,?,?
Motorola 68020,190000,1984,Motorola,2000,85,2200
Intel 80386,275000,1985,Intel,1500,104,2640
ARM 1,25000,1985,Acorn,3000,50,500
Novix NC4016 ,16000,1985,Harris Corporation,3000,?,?
SPARC MB86900,110000,1986,Fujitsu,1200,?,?
NEC V60,375000,1986,NEC,1500,?,?
ARM 2,27000,1986,Acorn,2000,30.25,890
Z80000,91000,1986,Zilog,?,?,?
NEC V70,385000,1987,NEC,1500,?,?
Hitachi Gmicro/200,730000,1987,Hitachi,1000,?,?
Motorola 68030,273000,1987,Motorola,800,102,2680
TI Explorer's 32-bitLispmachinechip,553000,1987,Texas Instruments,2000,?,?
DEC WRL MultiTitan,180000,1988,DEC WRL,1500,61,2950
Intel i960,250000,1988,Intel,1500,?,?
Intel i960CA,600000,1989,Intel,800,143,4200
Intel i860,1000000,1989,Intel,?,?,?
Intel 80486,1180235,1989,Intel,1000,173,6822
ARM 3,310000,1989,Acorn,1500,87,3600
POWER1,6900000,1990,IBM,1000,1283.61,5375
Motorola 68040,1200000,1990,Motorola,650,152,7900
R4000,1350000,1991,MIPS,1000,213,6340
ARM 6,35000,1991,ARM,800,?,?
Hitachi SH-1,600000,1992,Hitachi,800,100,6000
Intel i960CF,900000,1992,Intel,?,125,7200
Alpha 21064,1680000,1992,DEC,750,233.52,7190
HitachiHARP-1 ,2800000,1993,Hitachi,500,267,10500
Pentium,3100000,1993,Intel,800,294,10500
POWER2,23037000,1993,IBM,720,1217.39,18923
ARM700,578977,1994,ARM,700,68.51,8451
MuP21 ,7000,1994,Offete Enterprises,1200,?,?
Motorola 68060,2500000,1994,Motorola,600,218,11500
PowerPC 601,2800000,1994,Apple IBM Motorola,600,121,23000
PowerPC 603,1600000,1994,Apple IBM Motorola,500,84.76,18900
PowerPC 603e,2600000,1995,Apple IBM Motorola,500,98,26500
Alpha 21164EV5 ,9300000,1995,DEC,500,298.65,31140
SA-110,2500000,1995,Acorn DECApple,350,50,50000
Pentium Pro,5500000,1995,Intel,500,307,18000
PA-800064-bit no cache,3800000,1995,HP,500,337.69,11300
Alpha 21164AEV56 ,9660000,1996,DEC,350,208.8,46260
AMD K5,4300000,1996,AMD,500,251,17000
Pentium IIKlamath ,7500000,1997,Intel,350,195,39000
AMD K6,8800000,1997,AMD,350,162,54000
F21 ,15000,1997,Offete Enterprises,?,?,?
AVR,140000,1997,Nordic VLSI/Atmel,?,?,?
Pentium IIDeschutes ,7500000,1998,Intel,250,113,66000
Alpha 21264EV6 ,15200000,1998,DEC,350,313.96,48400
Alpha 21164PCPCA57 ,5700000,1998,Samsung,280,100.5,56700
Hitachi SH-4,3200000,1998,Hitachi,250,57.76,55400
ARM 9TDMI,111000,1999,Acorn,350,4.8,23100
Pentium IIIKatmai ,9500000,1999,Intel,250,128,74000
Emotion Engine,10500000,1999,SonyToshiba,250,239.7,4380056300
Pentium IIMobile Dixon ,27400000,1999,Intel,180,180,152000
AMD K6-III,21300000,1999,AMD,250,118,181000
AMD K7,22000000,1999,AMD,250,184,120000
Gekko,21000000,2000,IBMNintendo,180,43,490000
Pentium IIICoppermine ,21000000,2000,Intel,180,80,263000
Pentium 4Willamette ,42000000,2000,Intel,180,217,194000
SPARC64 V,191000000,2001,Fujitsu,130,290,659000
Pentium IIITualatin ,45000000,2001,Intel,130,81,556000
Pentium 4Northwood ,55000000,2002,Intel,130,145,379000
Itanium 2McKinley ,220000000,2002,Intel,180,421,523000
Alpha 21364,152000000,2003,DEC,180,397,383000
AMD K7Barton,54300000,2003,AMD,130,101,538000
AMD K8,105900000,2003,AMD,130,193,548700
Pentium MBanias ,77000000,2003,Intel,130,83,928000
Itanium 2Madison 6M ,410000000,2003,Intel,130,374,1096000
PlayStation 2single chip ,53500000,2003,Sony Toshiba,90,86,622100
Pentium 4Prescott ,112000000,2004,Intel,90,110,1018000
Pentium MDothan ,144000000,2004,Intel,90,87,1655000
SPARC64 V,400000000,2004,Fujitsu,90,294,1360000
Itanium 2,592000000,2004,Intel,130,432,1370000
Pentium 4Prescott-2M ,169000000,2005,Intel,90,143,1182000
Pentium DSmithfield ,228000000,2005,Intel,90,206,1107000
Xenon,165000000,2005,IBM,90,?,?
Cell,250000000,2005,Sony IBM Toshiba,90,221,1131000
Pentium 4Cedar Mill ,184000000,2006,Intel,65,90,2044000
Pentium DPresler ,362000000,2006,Intel,65,162,2235000
Core 2 DuoConroe ,291000000,2006,Intel,65,143,2035000
Dual-coreItanium 2,1700000000,2006,Intel,90,596,2852000
AMD K10quad-core 2M L3 ,463000000,2007,AMD,65,283,1636000
ARM Cortex-A9SIMD caches),26000000,2007,ARM,45,31,839000
Core 2 DuoWolfdale ,411000000,2007,Intel,45,107,3841000
POWER6,789000000,2007,IBM,65,341,2314000
Core 2 DuoAllendale ,169000000,2007,Intel,65,111,1523000
Uniphier,250000000,2007,Matsushita,45,?,?
SPARC64 VI,540000000,2007,Fujitsu,90,421,1283000
Core 2 DuoWolfdale 3M ,230000000,2008,Intel,45,83,2771000
Core i7,731000000,2008,Intel,45,263,2779000
AMD K10quad-core 6M L3 ,758000000,2008,AMD,45,258,2938000
Atom,47000000,2008,Intel,45,24,1958000
SPARC64 VII,600000000,2008,Fujitsu,65,445,1348000
Six-coreXeon7400 ,1900000000,2008,Intel,45,503,3777000
Six-coreOpteron2400 ,904000000,2009,AMD,45,346,2613000
SPARC64 VIIIfx,760000000,2009,Fujitsu,45,513,1481000
